Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,124.37479400634766,154.5978240966797,106.91436004638672,265.0653991699219,336.9200134277344,61.40648651123047,64.0199966430664,252.8850555419922,207.59341430664062,85.81999969482422,541.1633911132812,144.50897216796875,195.38999938964844,32.49812698364258,44.32747268676758,2032.2099609375,692.0857543945312,68.97274780273438,309.9100036621094,43.34513473510742,233.00830078125,341.5799865722656,76.67803192138672,34.59346389770508,90.86418914794922,109.10609436035156,439.2248229980469,134.77999877929688,46.155059814453125,89.193359375,167.4122314453125,418.6430358886719,231.3964080810547,88.68098449707031,48.4257698059082,99.32442474365234,93.85777282714844,41.658851623535156,10.570135116577148,173.61839294433594,241.59327697753906,66.13922119140625,82.21430206298828,33.461421966552734,89.69999694824219,89.12000274658203,335.5840759277344,307.3572082519531,209.67031860351562,134.8525390625,26.044008255004883,172.94204711914062,130.40476989746094,39.010780334472656,61.024715423583984,314.00653076171875,361.425048828125,464.9241943359375,193.989013671875,344.1543884277344,258.47808837890625,64.75969696044922,75.70198059082031,69.2114486694336,124.73999786376953,115.48816680908203,41.71461868286133,108.1148681640625,81.7223129272461,237.47434997558594,81.52799224853516,294.95001220703125,117.23463439941406,143.08648681640625,82.14887237548828,174.4033660888672,48.30819320678711,146.88978576660156,95.94265747070312,74.58000183105469,104.40631866455078,98.23121643066406,98.75798797607422,80.57666015625,69.0724105834961,110.42162322998047,17.27850914001465,146.9750213623047,551.70361328125,138.4356689453125,108.0999984741211,157.0054168701172,510.9476013183594,202.47329711914062,168.57635498046875,42.276954650878906,205.7560577392578,36.75505828857422,40.239158630371094,141.44259643554688,102.99358367919922,125.06999969482422,162.3800048828125,109.58000183105469,270.260009765625,336.9200134277344,62.93000030517578,64.0199966430664,261.6499938964844,214.6699981689453,85.81999969482422,553.47998046875,147.1199951171875,195.38999938964844,33.5099983215332,46.29999923706055,2032.2099609375,712.0399780273438,72.26000213623047,309.9100036621094,45.779998779296875,238.8800048828125,341.5799865722656,79.12999725341797,35.56999969482422,92.97000122070312,113.12000274658203,453.2799987792969,134.77999877929688,47.939998626708984,92.91000366210938,173.99000549316406,424.2900085449219,232.5088653564453,88.97000122070312,51.040000915527344,103.69999694824219,96.11000061035156,43.15999984741211,11.680000305175781,177.27000427246094,248.60000610351562,66.33879852294922,85.38999938964844,33.81999969482422,89.69999694824219,89.12000274658203,346.2200012207031,315.9100036621094,214.3000030517578,141.5500030517578,26.729999542236328,178.19000244140625,135.1199951171875,40.779998779296875,62.95000076293945,318.3500061035156,364.989990234375,477.5299987792969,199.0399932861328,346.79998779296875,264.3299865722656,66.25,78.26000213623047,72.1500015258789,124.73999786376953,122.47000122070312,45.52000045776367,111.13999938964844,85.72000122070312,239.5800018310547,83.83000183105469,294.95001220703125,118.75,143.14999389648438,83.72000122070312,179.41000366210938,51.2599983215332,151.57000732421875,101.30000305175781,74.58000183105469,107.19999694824219,100.80999755859375,100.83000183105469,81.94000244140625,71.9000015258789,117.54000091552734,18.739999771118164,151.72999572753906,553.1799926757812,139.0399932861328,108.0999984741211,163.2100067138672,518.6400146484375,207.5800018310547,175.27999877929688,44.63999938964844,207.38999938964844,40.119998931884766,41.790000915527344,143.60000610351562,106.51000213623047,130.89999389648438,163.02000427246094,111.33000183105469,273.4200134277344,345.82000732421875,63.869998931884766,66.87999725341797,262.6000061035156,215.25,86.95999908447266,567.5700073242188,150.4499969482422,197.17999267578125,34.09000015258789,46.939998626708984,2049.0,723.5399780273438,72.97000122070312,312.3900146484375,46.75,240.67999267578125,345.5299987792969,79.16999816894531,35.59000015258789,95.5999984741211,117.9800033569336,458.79998779296875,136.9499969482422,48.04999923706055,93.05000305175781,179.0,428.1600036621094,237.58865356445312,89.97000122070312,51.150001525878906,103.80000305175781,96.98999786376953,43.349998474121094,11.920000076293945,177.58999633789062,249.41000366210938,66.42466735839844,86.1500015258789,34.34000015258789,91.55000305175781,91.05000305175781,348.6000061035156,319.2200012207031,215.14999389648438,141.89999389648438,27.06999969482422,178.3800048828125,136.74000549316406,40.85499954223633,63.560001373291016,322.0,369.0,484.25,202.3000030517578,354.6600036621094,264.3500061035156,66.69999694824219,78.33000183105469,72.91999816894531,126.37000274658203,122.63999938964844,45.880001068115234,111.19999694824219,86.5999984741211,245.75,84.9000015258789,298.3900146484375,119.48999786376953,149.9600067138672,83.83999633789062,180.75,51.33000183105469,151.7100067138672,101.94000244140625,75.26000213623047,111.73999786376953,101.2300033569336,101.16999816894531,83.8499984741211,72.0199966430664,119.18000030517578,18.850000381469727,152.63999938964844,556.0999755859375,140.08999633789062,118.80000305175781,167.64999389648438,525.6300048828125,207.8699951171875,175.8300018310547,45.029998779296875,212.3300018310547,40.22999954223633,42.13999938964844,143.7100067138672,110.0199966430664,124.16999816894531,160.80999755859375,108.75,267.04998779296875,331.9200134277344,62.619998931884766,63.59000015258789,258.8699951171875,210.97000122070312,84.20999908447266,550.7899780273438,145.72999572753906,192.39999389648438,33.209999084472656,45.77000045776367,2005.5699462890625,703.77001953125,71.68000030517578,307.3800048828125,45.540000915527344,236.1999969482422,337.17999267578125,77.72000122070312,34.7400016784668,92.41000366210938,111.91999816894531,447.8999938964844,133.02999877929688,47.310001373291016,91.04000091552734,171.50999450683594,420.20001220703125,229.66311645507812,87.83000183105469,50.310001373291016,102.19000244140625,94.94999694824219,42.43000030517578,11.569999694824219,174.52999877929688,246.32000732421875,65.21467590332031,84.83000183105469,33.400001525878906,89.0199966430664,88.5199966430664,342.80999755859375,311.7799987792969,212.22000122070312,140.47999572753906,26.3700008392334,176.00999450683594,133.88999938964844,40.28499984741211,62.18000030517578,314.45001220703125,361.4599914550781,474.010009765625,197.13999938964844,343.94000244140625,259.510009765625,65.37000274658203,77.37999725341797,71.66999816894531,122.27999877929688,120.37000274658203,45.2599983215332,109.48999786376953,84.9800033569336,237.39999389648438,82.54000091552734,288.70001220703125,117.44000244140625,140.9600067138672,82.26000213623047,176.57000732421875,50.81999969482422,149.1199951171875,100.19000244140625,73.37999725341797,107.12999725341797,100.0999984741211,99.47000122070312,81.23999786376953,70.69000244140625,116.22000122070312,18.40999984741211,149.5800018310547,546.969970703125,136.25999450683594,104.63999938964844,162.58999633789062,512.1599731445312,205.1300048828125,173.64999389648438,44.08000183105469,206.16000366210938,39.380001068115234,41.45000076293945,142.08999633789062,105.48999786376953,130.27999877929688,162.0399932861328,110.51000213623047,269.20001220703125,340.1600036621094,63.45000076293945,66.0,260.8699951171875,214.0,85.45999908447266,565.0,149.5399932861328,192.9499969482422,33.22999954223633,45.97999954223633,2038.8299560546875,720.0,71.76000213623047,310.07000732421875,45.75,240.67999267578125,342.05999755859375,78.79000091552734,34.939998626708984,92.66000366210938,116.55999755859375,458.0,135.19000244140625,47.86000061035156,91.72000122070312,178.0399932861328,428.0,237.4202117919922,88.9800033569336,50.599998474121094,103.19999694824219,96.5999984741211,43.25,11.819999694824219,174.97000122070312,247.85000610351562,65.61280059814453,85.08000183105469,34.02000045776367,89.83000183105469,89.58999633789062,345.5,317.4200134277344,215.14999389648438,141.10000610351562,27.049999237060547,176.16000366210938,135.24000549316406,40.529998779296875,63.560001373291016,317.6700134277344,366.260009765625,483.3900146484375,201.49000549316406,349.9599914550781,263.5299987792969,66.5,77.97000122070312,72.44000244140625,122.81999969482422,121.5199966430664,45.72999954223633,110.41000366210938,85.63999938964844,243.0800018310547,84.37000274658203,298.05999755859375,118.55000305175781,148.50999450683594,82.47000122070312,180.58999633789062,51.0099983215332,150.9499969482422,101.51000213623047,73.69000244140625,111.3499984741211,100.98999786376953,100.55999755859375,83.56999969482422,71.43000030517578,118.12999725341797,18.510000228881836,149.97999572753906,553.2899780273438,139.0,118.47000122070312,167.22000122070312,525.1300048828125,207.2899932861328,174.27000427246094,44.20000076293945,209.27999877929688,39.77000045776367,41.61000061035156,142.5500030517578,109.77999877929688,112117500,4937500,4171900,2250100,2229100,3363500,46851800,2594800,1812400,76706000,2017300,2762200,8624600,35221500,5319300,266900,540800,7792300,3549900,19564000,2651900,1524100,2920200,23175300,2619400,5424400,1978100,8196400,17718900,6543500,7565400,1166300,3019318,14997100,3962500,2688900,2519100,5156700,45809000,2193900,777900,8204933,6050600,11793300,20738500,28131200,1589700,2822400,2219300,3338600,31308000,6344900,11054800,5749000,12180500,2374200,2006700,1657200,2602000,2933600,2743800,6545300,6544500,3107200,35528500,2612800,5127800,8062500,5108900,25740000,5535400,6764000,8124800,40127700,8997500,5137400,15603800,6447300,2730000,27974200,8110400,3532300,6607700,7443200,3761200,1313800,42149200,3685200,1785800,8245300,231402800,4294100,3525600,1766300,2206500,12795900,4202800,31330700,15944300,5749900,15146200
2023-01-04,125.65763854980469,155.84503173828125,108.50469970703125,264.1630554199219,341.4100036621094,62.3139762878418,64.66000366210938,255.53329467773438,211.78067016601562,85.13999938964844,547.77294921875,147.86827087402344,203.63999938964844,33.10910415649414,45.41889953613281,2110.43994140625,701.6695556640625,69.31637573242188,314.54998779296875,44.462379455566406,235.42735290527344,354.0,77.17223358154297,35.58545684814453,93.63008117675781,109.31829833984375,442.403076171875,139.58999633789062,46.14535903930664,88.30055236816406,165.6321563720703,417.8438415527344,235.01377868652344,91.68120574951172,49.649696350097656,100.3875961303711,93.18394470214844,42.20902633666992,10.868778228759766,177.71229553222656,238.3085479736328,69.98880004882812,82.3202133178711,34.32219696044922,88.70999908447266,88.08000183105469,337.01861572265625,311.07379150390625,205.50234985351562,135.8528594970703,26.969627380371094,174.82492065429688,131.62078857421875,39.450828552246094,60.995628356933594,312.44805908203125,359.5535583496094,463.92138671875,196.27938842773438,352.44073486328125,258.5368347167969,65.22891235351562,78.32340240478516,70.20909881591797,127.37000274658203,118.01537322998047,41.61381530761719,109.02928161621094,82.60893249511719,227.08645629882812,82.16985321044922,309.4100036621094,119.66324615478516,147.42459106445312,82.89460754394531,173.9756317138672,47.24326705932617,147.52940368652344,95.87635803222656,77.69000244140625,108.62348175048828,98.26043701171875,102.31339263916016,81.96319580078125,69.65841674804688,113.8223876953125,17.647315979003906,147.9340362548828,560.4202880859375,139.3516845703125,113.63999938964844,162.73883056640625,497.0173034667969,204.09246826171875,170.33636474609375,43.5933723449707,210.93495178222656,37.68034744262695,41.0672492980957,141.60020446777344,103.29335021972656,126.36000061035156,163.69000244140625,111.20999908447266,269.3399963378906,341.4100036621094,63.86000061035156,64.66000366210938,264.3900146484375,219.0,85.13999938964844,560.239990234375,150.5399932861328,203.63999938964844,34.13999938964844,47.439998626708984,2110.43994140625,721.9000244140625,72.62000274658203,314.54998779296875,46.959999084472656,241.36000061035156,354.0,79.63999938964844,36.59000015258789,95.80000305175781,113.33999633789062,456.55999755859375,139.58999633789062,47.54999923706055,91.9800033569336,172.13999938964844,423.4800109863281,236.14361572265625,91.9800033569336,52.33000183105469,104.80999755859375,95.41999816894531,43.72999954223633,12.010000228881836,181.4499969482422,245.22000122070312,70.19999694824219,85.5,34.689998626708984,88.70999908447266,88.08000183105469,347.70001220703125,319.7300109863281,210.0399932861328,142.60000610351562,27.68000030517578,180.1300048828125,136.3800048828125,41.2400016784668,62.91999816894531,316.7699890136719,363.1000061035156,476.5,201.38999938964844,355.1499938964844,264.3900146484375,66.7300033569336,80.97000122070312,73.19000244140625,127.37000274658203,125.1500015258789,45.40999984741211,112.08000183105469,86.6500015258789,229.10000610351562,84.48999786376953,309.4100036621094,121.20999908447266,147.49000549316406,84.4800033569336,178.97000122070312,50.130001068115234,152.22999572753906,101.2300033569336,77.69000244140625,111.52999877929688,100.83999633789062,104.45999908447266,83.3499984741211,72.51000213623047,121.16000366210938,19.139999389648438,152.72000122070312,561.9199829101562,139.9600067138672,113.63999938964844,169.1699981689453,504.5,209.24000549316406,177.11000061035156,46.029998779296875,212.61000061035156,41.130001068115234,42.650001525878906,143.75999450683594,106.81999969482422,128.66000366210938,164.27999877929688,111.94000244140625,274.9800109863281,345.6300048828125,64.55999755859375,65.79000091552734,265.010009765625,222.5399932861328,86.9800033569336,568.1599731445312,151.9600067138672,203.75999450683594,34.81999969482422,48.029998779296875,2113.590087890625,727.47998046875,73.26000213623047,316.8900146484375,47.540000915527344,242.1300048828125,355.92999267578125,80.12999725341797,36.970001220703125,97.9800033569336,114.30999755859375,459.510009765625,141.85000610351562,48.47999954223633,93.41000366210938,174.2899932861328,426.3599853515625,237.8457489013672,92.75,52.505001068115234,105.37999725341797,95.77999877929688,43.959999084472656,12.079999923706055,183.0500030517578,248.75999450683594,70.19999694824219,86.5,34.95000076293945,91.23999786376953,90.6500015258789,350.30999755859375,322.510009765625,211.24000549316406,143.6199951171875,27.920000076293945,180.19000244140625,137.67999267578125,41.584999084472656,63.33000183105469,320.25,367.1199951171875,479.70001220703125,202.35000610351562,356.9800109863281,266.54998779296875,67.38999938964844,81.77999877929688,73.56999969482422,129.0500030517578,125.29000091552734,45.88999938964844,112.61000061035156,87.3499984741211,232.8699951171875,85.45999908447266,311.1400146484375,122.2300033569336,148.52999877929688,85.16999816894531,180.5399932861328,50.630001068115234,153.38999938964844,101.73999786376953,78.4800033569336,112.2300033569336,102.0999984741211,104.7300033569336,83.7300033569336,73.04000091552734,122.30999755859375,19.3700008392334,154.32000732421875,567.8099975585938,140.97999572753906,114.58999633789062,169.69000244140625,518.6400146484375,210.2100067138672,177.8699951171875,46.400001525878906,213.1999969482422,41.41999816894531,43.060001373291016,144.0500030517578,107.16000366210938,125.08000183105469,161.50999450683594,110.3499984741211,267.010009765625,336.7300109863281,63.18000030517578,63.310001373291016,261.0,215.50999450683594,83.36000061035156,556.030029296875,148.55999755859375,195.17999267578125,33.83000183105469,47.099998474121094,2056.780029296875,713.4000244140625,71.7300033569336,311.25,46.34000015258789,238.5500030517578,345.2099914550781,79.19000244140625,36.029998779296875,94.2300033569336,110.45999908447266,452.5899963378906,137.6199951171875,47.16999816894531,91.66000366210938,170.85000610351562,420.2099914550781,234.01596069335938,89.36000061035156,51.400001525878906,103.8499984741211,93.86000061035156,43.220001220703125,11.739999771118164,178.97000122070312,242.9600067138672,66.75,84.94000244140625,34.09000015258789,87.80000305175781,87.2699966430664,345.0799865722656,316.3800048828125,207.32000732421875,141.3699951171875,27.15999984741211,178.47999572753906,135.57000732421875,40.900001525878906,62.5099983215332,315.07000732421875,360.3399963378906,469.29998779296875,197.50999450683594,349.69000244140625,262.8900146484375,66.26000213623047,78.80000305175781,72.5,125.8499984741211,122.70999908447266,45.189998626708984,111.23999786376953,85.18000030517578,225.9600067138672,83.83000183105469,295.510009765625,119.52999877929688,142.41000366210938,83.63999938964844,177.5500030517578,49.52000045776367,151.22999572753906,100.68000030517578,75.43000030517578,108.80999755859375,100.41000366210938,102.55000305175781,82.20999908447266,71.81999969482422,118.01000213623047,18.809999465942383,147.67999267578125,554.9600219726562,137.36000061035156,107.5199966430664,165.3000030517578,500.6000061035156,207.57000732421875,175.1999969482422,45.11000061035156,209.6199951171875,40.2599983215332,42.22999954223633,142.07000732421875,104.76000213623047,126.88999938964844,162.39999389648438,111.01000213623047,273.42999267578125,342.8900146484375,63.5,65.0,263.010009765625,217.41000366210938,86.55000305175781,562.989990234375,148.55999755859375,195.17999267578125,33.900001525878906,47.58000183105469,2068.830078125,719.6500244140625,72.25,312.0,46.540000915527344,240.0,347.010009765625,79.19999694824219,36.25,94.55999755859375,111.22000122070312,457.17999267578125,141.22000122070312,48.279998779296875,93.27999877929688,170.9499969482422,423.92999267578125,235.11524963378906,90.0,51.65999984741211,104.2699966430664,95.77999877929688,43.38999938964844,11.880000114440918,179.0,247.49000549316406,68.41000366210938,86.19999694824219,34.290000915527344,91.01000213623047,90.3499984741211,348.0299987792969,321.07000732421875,208.5,142.07000732421875,27.40999984741211,178.88999938964844,135.99000549316406,41.040000915527344,63.150001525878906,318.7200012207031,364.6400146484375,473.25,201.42999267578125,351.3900146484375,266.25,66.36000061035156,79.13999938964844,72.6500015258789,127.37999725341797,123.3499984741211,45.41999816894531,112.31999969482422,85.55000305175781,232.27999877929688,84.36000061035156,298.239990234375,119.95999908447266,145.6699981689453,84.19999694824219,179.41000366210938,50.290000915527344,151.99000549316406,101.51000213623047,76.11000061035156,109.80000305175781,100.51000213623047,102.69000244140625,83.19000244140625,72.02999877929688,118.81999969482422,18.8700008392334,148.25999450683594,559.2999877929688,140.5,109.11000061035156,165.3000030517578,518.6400146484375,208.08999633789062,176.4499969482422,45.11000061035156,209.6199951171875,40.540000915527344,42.2599983215332,143.4199981689453,104.80000305175781,89113600,4440400,4395500,2052400,2186800,3763600,47477100,1773800,1796000,68885100,1707400,2620400,9746900,41998500,7777700,368100,710200,9948700,5121200,21507200,2387900,1643200,3976800,24067700,3177500,4837600,2097300,14322600,18339800,7330400,7684500,1050800,2465244,14957200,4527800,2819900,3965500,4379600,53429700,2286000,1076700,16784600,5713900,11326300,27046500,34854800,1881000,3560900,3860300,3869200,37665200,9788800,11687600,8199500,13387900,2088900,1886200,1391300,2507400,2661000,2584100,6086900,9769500,3659400,32397100,2769700,7907300,8698600,7726800,50623400,4831100,9345100,8550700,43132400,7836200,4771300,21808400,7313400,5895500,19144700,7614200,5635100,8166600,6199100,3857500,1808700,43926800,4443300,1935800,6900800,180389000,6285300,5070400,1830900,1965100,16338400,6606200,28779500,18943600,4446100,18058400
